ID,Q1,Q2,Q3,Q4
1,Rarely,More,High prices,Sit-down dining
2,Monthly,Less,High prices,Fast-food
3,Rarely,More,Poor service,Fast-food
4,Weekly,More,High prices,Fast-food
5,Weekly,More,Quality of food,Fast-food
6,Rarely,More,High prices,Sit-down dining
7,Never visited before,Less,High prices,Fast-food
8,Monthly,Less,Poor service,Sit-down dining
9,Rarely,Less,High prices,Fast-food
10,Monthly,Less,High prices,Sit-down dining
11,Rarely,More,Lack of sit down dining elements,Sit-down dining
12,Never visited before,More,High prices,Sit-down dining
13,Never visited before,Less,Lack of sit down dining elements,Fast-food
14,Never visited before,More,High prices,Fast-food
15,Weekly,Less,Lack of sit down dining elements,Fast-food
16,Rarely,Less,High prices,Sit-down dining
17,Rarely,Less,Lack of sit down dining elements,Sit-down dining
18,Rarely,Less,High prices,Sit-down dining
19,Never visited before,More,Lack of sit down dining elements,Sit-down dining
20,Monthly,Less,High prices,Fast-food
21,Never visited before,Less,Lack of sit down dining elements,Sit-down dining
22,Rarely,More,High prices,Fast-food
23,Monthly,Less,High prices,Fast-food
24,Rarely,Less,High prices,Sit-down dining
25,Rarely,More,Quality of food,Fast-food
26,Monthly,More,Quality of food,Fast-food
27,Daily,Less,Lack of sit down dining elements,Sit-down dining
28,Rarely,Less,High prices,Sit-down dining
29,Rarely,Less,Poor service,Fast-food
30,Never visited before,More,Lack of sit down dining elements,Fast-food
31,Rarely,Less,High prices,Sit-down dining
32,Monthly,Less,Poor service,Fast-food
33,Never visited before,Less,Poor service,Fast-food
34,Weekly,Less,High prices,Sit-down dining
35,Rarely,Less,High prices,Sit-down dining
36,Daily,Less,Lack of sit down dining elements,Fast-food
37,Rarely,Less,Lack of sit down dining elements,Fast-food
38,Never visited before,Less,High prices,Fast-food
39,Rarely,Less,Lack of sit down dining elements,Sit-down dining
40,Daily,Less,High prices,Fast-food
41,Weekly,Less,Lack of sit down dining elements,Fast-food
42,Never visited before,Less,Lack of sit down dining elements,Fast-food
43,Rarely,Less,Lack of sit down dining elements,Sit-down dining
44,Never visited before,More,High prices,Fast-food
45,Rarely,Less,Lack of sit down dining elements,Fast-food
46,Never visited before,Less,High prices,Sit-down dining
47,Daily,Less,High prices,Fast-food
48,Never visited before,Less,Lack of sit down dining elements,Sit-down dining
49,Monthly,Less,Poor service,Sit-down dining
50,Rarely,Less,Poor service,Fast-food
51,Weekly,Less,Lack of sit down dining elements,Fast-food
52,Rarely,Less,Lack of sit down dining elements,Sit-down dining
53,Rarely,Less,High prices,Sit-down dining
54,Rarely,Less,Quality of food,Sit-down dining
55,Rarely,Less,Quality of food,Fast-food
56,Never visited before,Less,High prices,Fast-food
57,Monthly,More,High prices,Fast-food
58,Rarely,Less,Lack of sit down dining elements,Fast-food
59,Monthly,Less,Lack of sit down dining elements,Fast-food
60,Monthly,Less,High prices,Sit-down dining
61,Monthly,Less,Quality of food,Fast-food
62,Daily,Less,High prices,Sit-down dining
63,Weekly,Less,High prices,Sit-down dining
64,Weekly,Less,Poor service,Sit-down dining
65,Weekly,Less,Lack of sit down dining elements,Sit-down dining
66,Monthly,Less,Lack of sit down dining elements,Fast-food
67,Monthly,More,Poor service,Fast-food
